date,symbol,open,high,low,close,volume,returns,log_returns,created_at
2024-01-02,AAPL,185.57879946992125,186.8579779090344,182.34617384027908,184.08148193359375,82488700,,,2025-11-08T14:00:55.083497
2024-01-03,AAPL,182.67343910134508,184.3195067154423,181.8900628291485,182.70318603515625,58414500,-0.007487422873609373,-0.0075155943334348245,2025-11-08T14:00:55.083497
2024-01-04,AAPL,180.6208184994182,181.55292948513,179.36149122617633,180.38284301757812,71983600,-0.01270006871763929,-0.012781403966314877,2025-11-08T14:00:55.083497
2024-01-05,AAPL,180.46213275123534,181.22565742516292,178.65740505500082,179.65892028808594,62379700,-0.004013257122361891,-0.004021331849939656,2025-11-08T14:00:55.083497
2024-01-08,AAPL,180.56129720920066,184.04183940945515,179.9762540642685,184.00216674804688,59144500,0.02417495581625717,0.02388736731252704,2025-11-08T14:00:55.083497
2024-01-09,AAPL,182.37594957443397,183.59561921893004,181.19593746369003,183.58570861816406,42841800,-0.002263332748972835,-0.0022658979578842695,2025-11-08T14:00:55.083497
2024-01-10,AAPL,182.80234296869347,184.83512061558696,182.375945055311,184.62689208984375,46792900,0.005671375400169154,0.005655353698882865,2025-11-08T14:00:55.083497
2024-01-11,AAPL,184.97392753345,185.47965559618967,182.07844372761645,184.0319061279297,49128400,-0.003222639752959333,-0.0032278436396236754,2025-11-08T14:00:55.083497
2024-01-12,AAPL,184.49797017252533,185.17226924419936,183.63527891547233,184.35914611816406,40477800,0.0017781698680385816,0.0017765907956276506,2025-11-08T14:00:55.083497
2024-01-16,AAPL,180.63073389939075,182.71309489982514,179.41104910197012,182.08839416503906,65603000,-0.012317001900570612,-0.012393484844409067,2025-11-08T14:00:55.083497
2024-01-17,AAPL,179.74819585869176,181.39424823145328,178.786338048284,181.14634704589844,47317400,-0.005173570361034607,-0.0051869996143238785,2025-11-08T14:00:55.083497
2024-01-18,AAPL,184.52771753168435,187.55211493445296,184.26990575318283,187.04640197753906,78005800,0.032570653661294635,0.032051473208015054,2025-11-08T14:00:55.083497
2024-01-19,AAPL,187.74052319933506,190.33852272040096,187.23481023986653,189.95179748535156,68903000,0.015533020026556654,0.015413617537788521,2025-11-08T14:00:55.083497
2024-01-22,AAPL,190.68558968364889,193.69015075906108,190.64591702187175,192.26223754882812,60133900,0.012163296657694112,0.012089918181785276,2025-11-08T14:00:55.083497
2024-01-23,AAPL,193.38275184285894,194.10661903356933,192.20273983497614,193.54139709472656,42355600,0.0066532022211256425,0.006631167352191256,2025-11-08T14:00:55.083497
2024-01-24,AAPL,193.77940103141137,194.73134826169684,192.7084660713482,192.86712646484375,53631300,-0.0034838574072749706,-0.0034899401702538553,2025-11-08T14:00:55.083497
2024-01-25,AAPL,193.58107445570798,194.62226243680658,191.48878789336808,192.53988647460938,54822100,-0.0016967121159138232,-0.0016981531621737495,2025-11-08T14:00:55.083497
2024-01-26,AAPL,192.63904008919584,193.12491668531047,190.3285994330514,190.8045654296875,44594000,-0.009012787307063896,-0.009053648173405085,2025-11-08T14:00:55.083497
2024-01-29,AAPL,190.39800942846193,190.5864167388377,187.98841731539085,190.120361328125,47145600,-0.0035858895725146,-0.0035923342858272932,2025-11-08T14:00:55.083497
2024-01-30,AAPL,189.33701232459805,190.18979301004535,185.89614265093053,186.4613494873047,55859400,-0.019245765236608703,-0.01943337601916517,2025-11-08T14:00:55.083497
2024-10-01,AAPL,228.4567427059963,228.58613014733984,222.70352002656801,225.16207885742188,63285000,,,2025-11-08T14:25:57.049648
2024-10-02,AAPL,224.84356992020335,226.31670960653594,221.98686997976517,225.7294464111328,32880600,0.00251981841964688,0.002516649000337145,2025-11-08T14:25:57.049648
2024-10-03,AAPL,224.09704443839323,225.75930638603796,222.28548343692833,224.6245880126953,34044200,-0.004894613511899348,-0.004906631363812162,2025-11-08T14:25:57.049648
2024-10-04,AAPL,226.8442543024003,226.9437971307691,223.09172964492672,225.74935913085938,37245100,0.005007337478568852,0.004994842458087445,2025-11-08T14:25:57.049648
2024-10-07,AAPL,223.4600360693569,224.64452599576788,220.30472246057153,220.66305541992188,39505400,-0.022530755925597723,-0.022788451480117985,2025-11-08T14:25:57.049648
